"","incomeChangeHH","age","profile_gender","profile_GOR","profile_socialgrade_cie","pastvote_ge_2019","approveUKGovt"
"363","It hasn’t changed","84","Male","Scotland","D",NA,"Disapprove"
"364","It hasn’t changed","66","Female","South West","C1","Conservative","Strongly approve"
"365","It hasn’t changed","63","Female","London","A","Liberal Democrat","Neither approve nor disapprove"
"366","It hasn’t changed","60","Male","South East","B","Liberal Democrat","Strongly approve"
"367","It has decreased by less than a quarter","69","Male","Yorkshire and the Humber","E",NA,"Approve"
"368","It hasn’t changed","71","Female","East of England","C2","Conservative","Approve"
"369","It has decreased by less than a quarter","74","Male","London","B","Conservative","Approve"
"370","It hasn’t changed","72","Female","Wales","C1","Conservative","Approve"
"371","It is less than half what it was","68","Male","North West","A","Conservative","Approve"
"372","It hasn’t changed","72","Female","South West","E","Liberal Democrat","Neither approve nor disapprove"
"373","It hasn’t changed","58","Male","South East","B","Other","Strongly disapprove"
"374","It hasn’t changed","72","Female","Yorkshire and the Humber","B","Conservative","Approve"
"375","It hasn’t changed","39","Male","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"376","It hasn’t changed","73","Male","Scotland","E","Labour","Approve"
"377","It hasn’t changed","66","Female","South West","B","Conservative","Approve"
"378","It hasn’t changed","63","Female","London","C1","Labour","Neither approve nor disapprove"
"379","It hasn’t changed","61","Female","South West","E","Conservative","Strongly disapprove"
"380","It has decreased by less than a quarter","63","Male","North West","C1","Labour","Strongly disapprove"
"381","It hasn’t changed","73","Male","North East","E","Labour","Disapprove"
"382","It hasn’t changed","68","Male","South West","B","Conservative","Disapprove"
"383","It hasn’t changed","76","Male","South East","C1","Liberal Democrat","Neither approve nor disapprove"
"384","It is less than half what it was","64","Male","North East","D","Labour","Disapprove"
"385","It hasn’t changed","55","Female","South East","C2","Green","Neither approve nor disapprove"
"386","It hasn’t changed","74","Male","London","B","Conservative","Neither approve nor disapprove"
"387","It has decreased by less than a quarter","70","Male","East Midlands","C1","Labour","Disapprove"
"388","It is less than half what it was","64","Male","London","A","Green","Strongly disapprove"
"389","It hasn’t changed","39","Male","Wales","B","Labour","Disapprove"
"390","It has decreased by less than a quarter","48","Male","Scotland","B","Conservative","Approve"
"391","It has decreased by less than a quarter","67","Female","Scotland","A","Scottish National Party (SNP)","Approve"
"392","It hasn’t changed","62","Male","South East","C2","Labour","Neither approve nor disapprove"
"393","It has decreased by less than a quarter","47","Male","South East","C2","Labour","Approve"
"394","It has decreased by between a quarter and a half","57","Male","South West","C2","Conservative","Neither approve nor disapprove"
"395","It hasn’t changed","65","Female","East of England","C1","Don't know","Strongly disapprove"
"396","It has decreased by less than a quarter","45","Female","Yorkshire and the Humber","C1","Liberal Democrat","Neither approve nor disapprove"
"397","It hasn’t changed","72","Male","North West","E","Conservative","Disapprove"
"398","It hasn’t changed","73","Female","Wales","E","Labour","Disapprove"
"399","It has decreased by between a quarter and a half","61","Male","South West","A","Labour","Disapprove"
"400","It hasn’t changed","72","Male","East of England","C1","Green","Neither approve nor disapprove"
"401","It hasn’t changed","84","Male","Scotland","A",NA,"Disapprove"
"402","It hasn’t changed","69","Female","Scotland","A","Conservative","Neither approve nor disapprove"
"403","It hasn’t changed","48","Female","West Midlands","E","Conservative","Approve"
"404","It hasn’t changed","63","Male","Scotland","E","Liberal Democrat","Strongly disapprove"
"405","It hasn’t changed","49","Female","Scotland","A","Labour","Approve"
"406","It hasn’t changed","71","Male","North West","C1","Conservative","Disapprove"
"407","It hasn’t changed","52","Male","Wales","E","Labour","Strongly disapprove"
"408","It has decreased by between a quarter and a half","61","Female","East Midlands","C2","Labour","Strongly disapprove"
"409","It hasn’t changed","47","Male","Yorkshire and the Humber","B","Conservative","Strongly approve"
"410","It hasn’t changed","46","Male","South East","C1","Conservative","Approve"
"411","It hasn’t changed","49","Male","Wales","B","Labour","Disapprove"
"412","It hasn’t changed","70","Male","Wales","E","Labour","Neither approve nor disapprove"
"413","It hasn’t changed","45","Male","South East","A","Other","Disapprove"
"414","It hasn’t changed","81","Male","Scotland","B","Conservative","Approve"
"415","It hasn’t changed","63","Female","South East","D","Conservative","Approve"
"416","It has decreased by less than a quarter","45","Male","London","A",NA,"Approve"
"417","It is less than half what it was","75","Female","Wales","D","Labour","Disapprove"
"418","It hasn’t changed","57","Female","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"419","It has decreased by between a quarter and a half","36","Male","London","A","Labour","Disapprove"
"420","It hasn’t changed","52","Male","North West","C1","Brexit Party","Approve"
"421","It hasn’t changed","48","Female","Wales","B","Brexit Party","Approve"
"422","It hasn’t changed","77","Female","Scotland","C1","Conservative","Approve"
"423","It hasn’t changed","83","Female","South East","E","Liberal Democrat","Neither approve nor disapprove"
"424","It hasn’t changed","63","Female","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"425","It has decreased by less than a quarter","52","Male","South East","C1","Liberal Democrat","Neither approve nor disapprove"
"426","It hasn’t changed","63","Male","North West","B","Labour","Neither approve nor disapprove"
"427","It hasn’t changed","61","Male","North East","C1","Brexit Party","Disapprove"
"428","It hasn’t changed","62","Female","North East","E","Labour","Strongly disapprove"
"429","It hasn’t changed","69","Female","London","C2","Conservative","Approve"
"430","It hasn’t changed","68","Male","South West","D","Labour","Disapprove"
"431","It is less than half what it was","63","Male","North East","A","Labour","Neither approve nor disapprove"
"432","It has decreased by less than a quarter","40","Female","East of England","C2",NA,"Approve"
"433","It has decreased by less than a quarter","61","Male","North East","C1","Conservative","Strongly approve"
"434","It has decreased by less than a quarter","61","Male","Scotland","C1","Labour","Neither approve nor disapprove"
"435","Don’t know","30","Female","London","C1","Labour","Strongly disapprove"
"436","It hasn’t changed","34","Female","Scotland","C2","Scottish National Party (SNP)","Strongly disapprove"
"437","Don’t know","28","Female","London","A","Labour","Strongly disapprove"
"438","It hasn’t changed","60","Female","East Midlands","C2","Conservative","Strongly approve"
"439","It hasn’t changed","55","Female","East of England","C2","Conservative","Neither approve nor disapprove"
"440","It hasn’t changed","45","Female","London","A",NA,"Disapprove"
"441","It hasn’t changed","56","Male","Scotland","E",NA,"Strongly disapprove"
"442","It hasn’t changed","74","Female","West Midlands","E","Conservative","Approve"
"443","It hasn’t changed","41","Male","Wales","E",NA,"Disapprove"
"444","It hasn’t changed","57","Female","North West","A","Labour","Neither approve nor disapprove"
"445","It hasn’t changed","39","Male","Wales","C1","Conservative","Neither approve nor disapprove"
"446","It hasn’t changed","69","Female","West Midlands","C1","Liberal Democrat","Approve"
"447","It hasn’t changed","62","Female","South West","D",NA,"Strongly approve"
"448","It hasn’t changed","65","Male","North West","B","Conservative","Approve"
"449","It hasn’t changed","38","Female","Wales","C1","Conservative","Approve"
"450","It hasn’t changed","74","Male","East Midlands","A","Conservative","Approve"
"451","It hasn’t changed","55","Female","London","A","Liberal Democrat","Neither approve nor disapprove"
"452","It hasn’t changed","70","Female","West Midlands","E","Labour","Disapprove"
"453","It hasn’t changed","69","Female","London","C2","Conservative","Approve"
"454","It has increased","53","Female","Scotland","A","Scottish National Party (SNP)","Strongly disapprove"
"455","Don’t know","43","Male","East of England","D",NA,"Disapprove"
"456","It hasn’t changed","65","Female","South East","D","Other","Neither approve nor disapprove"
"457","It has increased","68","Male","London","C1","Conservative","Neither approve nor disapprove"
"458","It is less than half what it was","53","Female","Scotland","D",NA,"Strongly disapprove"
"459","It hasn’t changed","45","Male","East Midlands","C2",NA,"Neither approve nor disapprove"
"460","It hasn’t changed","68","Male","East Midlands","E","Labour","Strongly disapprove"
"461","It hasn’t changed","55","Female","East of England","C1","Conservative","Approve"
"462","It has decreased by between a quarter and a half","49","Female","Wales","D","Labour","Neither approve nor disapprove"
"463","It hasn’t changed","67","Male","Scotland","B","Scottish National Party (SNP)","Approve"
"464","It is less than half what it was","60","Male","London","C2","Conservative","Approve"
"465","It hasn’t changed","70","Female","Scotland","B","Conservative","Approve"
"466","It hasn’t changed","64","Female","North West","C1","Liberal Democrat","Neither approve nor disapprove"
"467","It hasn’t changed","48","Female","Scotland","C2","Scottish National Party (SNP)","Disapprove"
"468","It hasn’t changed","31","Female","Scotland","C2","Scottish National Party (SNP)","Disapprove"
